""	"Gene"	"AGI_accession"	"Annotation"	"ProteinType"	"NumberOfDomains"
"1091"	"AT3G09060.1"	"At3g09060"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1092"	"AT3G09162.1"	"At3g09162"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1093"	"AT3G09750.1"	"At3g09750"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1094"	"AT3G09810.1"	"At3g09810"	"putative catalytic component of NAD-dependent isocitrate dehydrogenase (AtIDH6)"	"soluble or peripheral protein"	"0"
"1095"	"AT3G09870.1"	"At3g09870"	"putative SAUR-type hormone signal effector (AtSAUR48)"	"soluble or peripheral protein"	"0"
"1096"	"AT3G10110.1"	"At3g10110"	"mitochondrial inner membrane translocase component (AtTIM22-2)"	"membrane protein"	"3"
"1097"	"AT3G10140.1"	"At3g10140"	"putative multifunctional RecA-like protein, involved in DNA repair and...(AtRecA3)"	"soluble or peripheral protein"	"0"
"1098"	"AT3G10160.1"	"At3g10160"	"putative folylpolyglutamate synthetase (AtFPGS2/AtDFc)"	"soluble or peripheral protein"	"0"
"1099"	"AT3G10190.1"	"At3g10190"	"putative calcium-binding calmodulin-like protein (AtCML36)"	"soluble or peripheral protein"	"0"
"1100"	"AT3G10270.1"	"At3g10270"	"putative subunit B of type-IIa:gyrase DNA topoisomerase complex (AtcpGyrB)"	"soluble or peripheral protein"	"0"
"1101"	"AT3G10370.1"	"At3g10370"	"FAD-dependent glycerol-3-phosphate dehydrogenase (AtSDP6)"	"soluble or peripheral protein"	"0"
"1102"	"AT3G10860.1"	"At3g10860"	"putative ubiquinone-binding component of cytochrome bc1 complex (AtUCRQ-1/AtQCR8-1)"	"membrane protein"	"1"
"1103"	"AT3G10870.1"	"At3g10870"	"methyl-indole-3-acetic acid esterase (AtMES17)"	"soluble or peripheral protein"	"0"
"1104"	"AT3G10920.1"	"At3g10920"	"manganese superoxide dismutase (AtMSD1)"	"soluble or peripheral protein"	"0"
"1105"	"AT3G11070.1"	"At3g11070"	"putative component of TOB/SAM mitochondrial outer membrane complex (AtSAM50-1/AtTob55-1)"	"membrane protein"	"Beta-barrel"
"1106"	"AT3G11350.1"	"At3g11350"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1107"	"AT3G11380.1"	"At3g11380"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1108"	"AT3G11460.1"	"At3g11460"	"putative mitochondrial nad2 mRNA editing factor (AtMEF10)"	"soluble or peripheral protein"	"0"
"1109"	"AT3G11470.1"	"At3g11470"	"putative phosphopantetheinyl transferase (AtmtPPT)"	"soluble or peripheral protein"	"0"
"1110"	"AT3G11591.1"	"At3g11591"	"protein of unknown function"	"membrane protein"	"0"
"1111"	"AT3G11600.1"	"At3g11600"	"putative transcriptional co-regulator (AtGIR2)"	"soluble or peripheral protein"	"0"
"1112"	"AT3G11745.1"	"At3g11745"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1113"	"AT3G11773.1"	"At3g11773"	"putative DnaJ-chaperone-related protein (AtDnaJE2.5)"	"soluble or peripheral protein"	"0"
"1114"	"AT3G12150.1"	"At3g12150"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1115"	"AT3G12260.1"	"At3g12260"	"putative component B14 of NADH dehydrogenase alpha subcomplex (AtNDUFA6/AtB14)"	"soluble or peripheral protein"	"0"
"1116"	"AT3G12370.1"	"At3g12370"	"putative component uL10M of large subunit of mitochondrial ribosome (AtmtRPL10)"	"soluble or peripheral protein"	"0"
"1117"	"AT3G12470.1"	"At3g12470"	"putative 3'-5' exonuclease"	"soluble or peripheral protein"	"0"
"1118"	"AT3G12620.1"	"At3g12620"	"putative PP2C-type clade D protein phosphatase (AtAPD1/AtPP2C-D3/AtPP2C38)"	"membrane protein"	"1"
"1119"	"AT3G12650.1"	"At3g12650"	"protein of unknown function"	"membrane protein"	"3"
"1120"	"AT3G12770.1"	"At3g12770"	"putative mitochondrial nad3 mRNA editing factor (AtMEF22)"	"soluble or peripheral protein"	"0"
"1121"	"AT3G12955.1"	"At3g12955"	"putative SAUR-type hormone signal effector (AtSAUR74)"	"soluble or peripheral protein"	"0"
"1122"	"AT3G13110.1"	"At3g13110"	"serine O-acetyltransferase (AtSerat2.2)"	"soluble or peripheral protein"	"0"
"1123"	"AT3G13160.1"	"At3g13160"	"putative component mS79 of small subunit of mitochondrial ribosome (AtmS79/AtPPR3b)"	"soluble or peripheral protein"	"0"
"1124"	"AT3G13226.1"	"At3g13226"	"putative (bacterial RecX)-like protein modulates RecA activity (AtRecX)"	"soluble or peripheral protein"	"0"
"1125"	"AT3G13450.1"	"At3g13450"	"E1 beta subunit of branched-chain alpha-keto acid dehydrogenase complex (AtDIN4)"	"soluble or peripheral protein"	"0"
"1126"	"AT3G13490.1"	"At3g13490"	"putative lysyl-tRNA synthetase, OVULE ABORTION (AtLysRS/AtOVA5)"	"soluble or peripheral protein"	"0"
"1127"	"AT3G13550.1"	"At3g13550"	"putative component of COP10-DDB1-DET1 (CDD) ubiquitylation complex (AtCOP10)"	"soluble or peripheral protein"	"0"
"1128"	"AT3G13590.1"	"At3g13590"	"protein of unknown function, contains C1-type domain"	"soluble or peripheral protein"	"0"
"1129"	"AT3G13674.1"	"At3g13674"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1130"	"AT3G13770.1"	"At3g13770"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1131"	"AT3G13845.1"	"At3g13845"	"protein of unknown function"	"membrane protein"	"2"
"1132"	"AT3G13857.1"	"At3g13857"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1133"	"AT3G13860.1"	"At3g13860"	"putative (yeast Hsp60)-type mitochondrial chaperonin (AtmtHSP60C)"	"soluble or peripheral protein"	"0"
"1134"	"AT3G13880.1"	"At3g13880"	"putative mitochondrial RNA editing factor (AtOTP72)"	"soluble or peripheral protein"	"0"
"1135"	"AT3G13882.1"	"At3g13882"	"putative L34-type protein of large ribosomal subunit"	"soluble or peripheral protein"	"0"
"1136"	"AT3G13930.1"	"At3g13930"	"putative E2 dihydrolipoyl acetyltransferase component of pyruvate...(AtmtPDC-E2.2)"	"soluble or peripheral protein"	"0"
"1137"	"AT3G14280.1"	"At3g14280"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1138"	"AT3G14362.1"	"At3g14362"	"putative precursor of DVL/ROT regulatory peptide (AtDVL19/AtRTFL10)"	"soluble or peripheral protein"	"0"
"1139"	"AT3G14430.1"	"At3g14430"	"protein of unknown function"	"membrane protein"	"1"
"1140"	"AT3G14510.1"	"At3g14510"	"hypothetical isoprenyl diphosphate synthase deduced from putative pseudogene (AtIDS5)"	"soluble or peripheral protein"	"0"
"1141"	"AT3G14580.1"	"At3g14580"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1142"	"AT3G14730.1"	"At3g14730"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1143"	"AT3G15000.1"	"At3g15000"	"putative dual-targeted RNA editing factor protein (AtMORF8/AtRIP1)"	"soluble or peripheral protein"	"0"
"1144"	"AT3G15020.1"	"At3g15020"	"putative mitochondrial NAD-dependent malate dehydrogenase (AtmMDH2)"	"soluble or peripheral protein"	"0"
"1145"	"AT3G15090.1"	"At3g15090"	"putative oxidoreductase"	"soluble or peripheral protein"	"0"
"1146"	"AT3G15130.1"	"At3g15130"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1147"	"AT3G15140.1"	"At3g15140"	"putative exoribonuclease involved in plastidial rRNA processing (AtERIL1/AtERI)"	"soluble or peripheral protein"	"0"
"1148"	"AT3G15200.1"	"At3g15200"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1149"	"AT3G15280.1"	"At3g15280"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1150"	"AT3G15352.1"	"At3g15352"	"putative cytochrome c oxidase copper chaperone (AtCOX17-1)"	"soluble or peripheral protein"	"0"
"1151"	"AT3G15534.1"	"At3g15534"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1152"	"AT3G15590.1"	"At3g15590"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1153"	"AT3G15620.1"	"At3g15620"	"putative pyrimidine (6-4)-pyrimidone photoproduct (PP) photolyase (AtUVR3)"	"soluble or peripheral protein"	"0"
"1154"	"AT3G15640.1"	"At3g15640"	"subunit of cytochrome c oxidase (AtCOX5B-1)"	"soluble or peripheral protein"	"0"
"1155"	"AT3G15650.1"	"At3g15650"	"putative acyl-protein thioesterase"	"soluble or peripheral protein"	"0"
"1156"	"AT3G15660.1"	"At3g15660"	"putative glutaredoxin involved in mitochondrial iron-sulfur cluster maturation (AtGRXS15)"	"soluble or peripheral protein"	"0"
"1157"	"AT3G15909.1"	"At3g15909"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1158"	"AT3G16010.1"	"At3g16010"	"putative mitochondrial group-II-intron splicing factor (AtMISF68)"	"soluble or peripheral protein"	"0"
"1159"	"AT3G16020.1"	"At3g16020"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1160"	"AT3G16070.1"	"At3g16070"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1161"	"AT3G16230.1"	"At3g16230"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1162"	"AT3G16480.1"	"At3g16480"	"putative component of core subcomplex of cytochrome c reductase complex (AtMPPa2)"	"soluble or peripheral protein"	"0"
"1163"	"AT3G16540.1"	"At3g16540"	"putative Deg-type protease (AtDeg11)"	"soluble or peripheral protein"	"0"
"1164"	"AT3G16550.1"	"At3g16550"	"putative Deg-type protease (AtDeg12)"	"soluble or peripheral protein"	"0"
"1165"	"AT3G16610.1"	"At3g16610"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1166"	"AT3G16620.1"	"At3g16620"	"GTP-binding chloroplast protein import receptor (AtToc120)"	"membrane protein"	"1"
"1167"	"AT3G16700.1"	"At3g16700"	"putative (animal FAHD1)-like oxaloacetate decarboxylase"	"soluble or peripheral protein"	"0"
"1168"	"AT3G16710.1"	"At3g16710"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1169"	"AT3G16851.1"	"At3g16851"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1170"	"AT3G16890.1"	"At3g16890"	"putative mitochondrial mRNA processing factor (AtPPR40)"	"soluble or peripheral protein"	"0"
"1171"	"AT3G17240.1"	"At3g17240"	"mitochondrial dihydrolipoamide dehydrogenase (AtmtLPD2/AtGDC-L2)"	"soluble or peripheral protein"	"0"
"1172"	"AT3G17250.1"	"At3g17250"	"putative PP2C-type protein phosphatase (AtPP2C43)"	"soluble or peripheral protein"	"0"
"1173"	"AT3G17300.1"	"At3g17300"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1174"	"AT3G17465.1"	"At3g17465"	"putative component uL3M of large subunit of mitochondrial ribosome (AtmtRPL3)"	"soluble or peripheral protein"	"0"
"1175"	"AT3G17470.1"	"At3g17470"	"putative guanosine-tetra/-pentaphosphate synthetase (AtCRSH)"	"soluble or peripheral protein"	"0"
"1176"	"AT3G17580.1"	"At3g17580"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1177"	"AT3G17720.1"	"At3g17720"	"putative pyridoxal-dependent decarboxylase"	"soluble or peripheral protein"	"0"
"1178"	"AT3G17910.1"	"At3g17910"	"putative SURFEIT cytochrome c oxidase assembly protein (AtSURF1a)"	"membrane protein"	"2"
"1179"	"AT3G17998.1"	"At3g17998"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1180"	"AT3G18020.1"	"At3g18020"	"putative mitochondrial RNA editing factor (AtPPME)"	"soluble or peripheral protein"	"0"
"1181"	"AT3G18160.1"	"At3g18160"	"putative peroxisomal biogenesis factor (AtPEX3-1)"	"membrane protein"	"2"
"1182"	"AT3G18240.1"	"At3g18240"	"putative component mS35 of small subunit of mitochondrial ribosome (AtmS35a)"	"soluble or peripheral protein"	"0"
"1183"	"AT3G18282.1"	"At3g18282"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1184"	"AT3G18410.1"	"At3g18410"	"putative component PDSW/NDUFB10 of NADH dehydrogenase beta subcomplex (AtPDSW-1)"	"soluble or peripheral protein"	"0"
"1185"	"AT3G18510.1"	"At3g18510"	"protein of unknown function"	"membrane protein"	"1"
"1186"	"AT3G18580.1"	"At3g18580"	"putative organellar single-stranded DNA-binding protein (AtSSB2)"	"soluble or peripheral protein"	"0"
"1187"	"AT3G18715.1"	"At3g18715"	"putative IDA/IDL-type peptide ligand precursor (AtIDL4)"	"soluble or peripheral protein"	"0"
"1188"	"AT3G18720.1"	"At3g18720"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1189"	"AT3G18970.1"	"At3g18970"	"putative mitochondrial RNA editing factor (AtMEF20)"	"soluble or peripheral protein"	"0"
"1190"	"AT3G19055.1"	"At3g19055"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1191"	"AT3G19170.1"	"At3g19170"	"organellar targeting peptide degrading protease (AtPreP1/AtZNMP)"	"soluble or peripheral protein"	"0"
"1192"	"AT3G19220.1"	"At3g19220"	"putative DnaJ-type chaperone involved in thylakoid biogenesis (AtSCO2/AtCYO1/AtDnaJE1.5)"	"soluble or peripheral protein"	"0"
"1193"	"AT3G19440.1"	"At3g19440"	"putative RNA pseudouridylate synthase"	"soluble or peripheral protein"	"0"
"1194"	"AT3G19508.1"	"At3g19508"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1195"	"AT3G19550.1"	"At3g19550"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1196"	"AT3G19740.1"	"At3g19740"	"putative AAA-type ATPase associated with unknown cellular activities"	"soluble or peripheral protein"	"0"
"1197"	"AT3G19920.1"	"At3g19920"	"putative lipid droplet-associated protein of unknown function"	"membrane protein"	"3"
"1198"	"AT3G19970.1"	"At3g19970"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1199"	"AT3G20000.1"	"At3g20000"	"putative mitochondrial outer membrane translocase component (AtTOM40-1)"	"membrane protein"	"Beta-barrel"
"1200"	"AT3G20040.1"	"At3g20040"	"putative hexokinase (AtHKL2/AtHXK4)"	"soluble or peripheral protein"	"0"
"1201"	"AT3G20090.1"	"At3g20090"	"cytochrome P450 monooxygenase (AtCYP705A18)"	"membrane protein"	"1"
"1202"	"AT3G20620.1"	"At3g20620"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1203"	"AT3G20700.1"	"At3g20700"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1204"	"AT3G20898.1"	"At3g20898"	"putative SIM/SMR-type cyclin-dependent kinase inhibitor (AtSMR14)"	"soluble or peripheral protein"	"0"
"1205"	"AT3G20900.1"	"At3g20900"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1206"	"AT3G20970.1"	"At3g20970"	"putative iron-sulfur cluster trafficking factor (AtNFU4)"	"soluble or peripheral protein"	"0"
"1207"	"AT3G21300.1"	"At3g21300"	"putative (yeast TRM2)-like tRNA methyltransferase"	"soluble or peripheral protein"	"0"
"1208"	"AT3G21338.1"	"At3g21338"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1209"	"AT3G21390.1"	"At3g21390"	"putative thiamin diphosphate carrier (AtTPC1)"	"membrane protein"	"6"
"1210"	"AT3G21400.1"	"At3g21400"	"putative (animal NDUFAF4)-like NADH:ubiquinone oxidoreductase complex assembly factor"	"soluble or peripheral protein"	"0"
"1211"	"AT3G21465.1"	"At3g21465"	"putative component mS83 of small subunit of mitochondrial ribosome (AtmS83b)"	"soluble or peripheral protein"	"0"
"1212"	"AT3G21530.1"	"At3g21530"	"putative magnesium-dependent nuclease/phosphatase"	"soluble or peripheral protein"	"0"
"1213"	"AT3G21700.1"	"At3g21700"	"putative GTPase component of (yeast SIN)-like pathway (AtSGP2)"	"soluble or peripheral protein"	"0"
"1214"	"AT3G21740.1"	"At3g21740"	"putative organelle RNA group-II intron splicing factor (AtAPO4)"	"soluble or peripheral protein"	"0"
"1215"	"AT3G22020.1"	"At3g22020"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1216"	"AT3G22057.1"	"At3g22057"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1217"	"AT3G22150.1"	"At3g22150"	"putative plastidial RNA editing factor (AtAEF1)"	"soluble or peripheral protein"	"0"
"1218"	"AT3G22200.1"	"At3g22200"	"gamma-aminobutyrate transaminase (AtPOP2)"	"soluble or peripheral protein"	"0"
"1219"	"AT3G22235.1"	"At3g22235"	"putative stress-responsive cysteine-rich peptide (AtCYSTM8/AtPCM5)"	"membrane protein"	"1"
"1220"	"AT3G22250.1"	"At3g22250"	"UDP-dependent glycosyl transferase (AtUGT82A1)"	"soluble or peripheral protein"	"0"
"1221"	"AT3G22300.1"	"At3g22300"	"putative component uS10M of small subunit of mitochondrial ribosome (AtmtRPS10)"	"soluble or peripheral protein"	"0"
"1222"	"AT3G22310.1"	"At3g22310"	"putative DEAD-box RNA helicase (AtRH9/AtPMH1)"	"soluble or peripheral protein"	"0"
"1223"	"AT3G22330.1"	"At3g22330"	"putative DEAD-box RNA helicase involved in mitochondrial RNA splicing (AtRH53/AtPMH2)"	"soluble or peripheral protein"	"0"
"1224"	"AT3G22360.1"	"At3g22360"	"alternative oxidase (AtAOx1b)"	"membrane protein"	"2"
"1225"	"AT3G22370.1"	"At3g22370"	"alternative oxidase (AtAOx1a/AtHSR3)"	"membrane protein"	"2"
"1226"	"AT3G22450.1"	"At3g22450"	"putative uL18-like mitochondrial RNA intron splicing factor (AtU18-L1)"	"soluble or peripheral protein"	"0"
"1227"	"AT3G22470.1"	"At3g22470"	"putative mitochondrial RNA processing factor (AtRFL2.1)"	"soluble or peripheral protein"	"0"
"1228"	"AT3G22550.1"	"At3g22550"	"putative FLZ-type SnRK1 kinase-interacting protein of unknown function (AtFLZ8)"	"soluble or peripheral protein"	"0"
"1229"	"AT3G22670.1"	"At3g22670"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1230"	"AT3G23170.1"	"At3g23170"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1231"	"AT3G23171.1"	"At3g23171"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1232"	"AT3G23330.1"	"At3g23330"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1233"	"AT3G23370.1"	"At3g23370"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1234"	"AT3G23420.1"	"At3g23420"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"1235"	"AT3G23480.1"	"At3g23480"	"putative cyclopropane fatty acid synthase"	"soluble or peripheral protein"	"0"
"1236"	"AT3G23490.1"	"At3g23490"	"putative cyanate lyase (AtCYN)"	"soluble or peripheral protein"	"0"
"1237"	"AT3G23630.1"	"At3g23630"	"adenylate isopentenyltransferase/cytokinin synthase (AtIPT7)"	"soluble or peripheral protein"	"0"
"1238"	"AT3G23635.1"	"At3g23635"	"putative precursor of DVL/ROT regulatory peptide (AtRTFL13)"	"soluble or peripheral protein"	"0"
"1239"	"AT3G23680.1"	"At3g23680"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1240"	"AT3G23830.1"	"At3g23830"	"putative glycine-rich RNA-binding protein (AtSRBP4/AtGRP4/AtRBG4)"	"soluble or peripheral protein"	"0"
"1241"	"AT3G23990.1"	"At3g23990"	"putative (yeast Hsp60)-type mitochondrial chaperonin (AtmtHSP60A)"	"soluble or peripheral protein"	"0"
"1242"	"AT3G24000.1"	"At3g24000"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1243"	"AT3G24093.1"	"At3g24093"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1244"	"AT3G24200.1"	"At3g24200"	"putative ubiquinone biosynthesis hydroxylase (AtCOQ6)"	"soluble or peripheral protein"	"0"
"1245"	"AT3G24320.1"	"At3g24320"	"putative plant-specific organelle DNA repair and recombination protein,...(AtMSH1/AtCHM)"	"soluble or peripheral protein"	"0"
"1246"	"AT3G24360.1"	"At3g24360"	"putative enoyl-CoA hydratase-like protein"	"soluble or peripheral protein"	"0"
"1247"	"AT3G24495.1"	"At3g24495"	"putative MSH6-type component of BRCA1B-like DNA repair complex (AtMSH6-2/AtMSH7)"	"soluble or peripheral protein"	"0"
"1248"	"AT3G24535.1"	"At3g24535"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1249"	"AT3G24560.1"	"At3g24560"	"protein of unknown function, involved in embryo development, RASPBERRY3 (AtRSY3)"	"soluble or peripheral protein"	"0"
"1250"	"AT3G24570.1"	"At3g24570"	"putative PMP22/Mpv17-type protein of unknown function"	"membrane protein"	"5"
"1251"	"AT3G25060.1"	"At3g25060"	"putative mitochondrial nad1 mRNA editing factor (AtMEF25)"	"soluble or peripheral protein"	"0"
"1252"	"AT3G25099.1"	"At3g25099"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1253"	"AT3G25120.1"	"At3g25120"	"putative mitochondrial inner membrane translocase component (AtPRAT4)"	"membrane protein"	"4"
"1254"	"AT3G25140.1"	"At3g25140"	"putative galacturonosyltransferase, QUASIMODO (AtGAUT8/AtQUA1)"	"membrane protein"	"2"
"1255"	"AT3G25210.1"	"At3g25210"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1256"	"AT3G25430.1"	"At3g25430"	"putative ribonuclease"	"soluble or peripheral protein"	"0"
"1257"	"AT3G25440.1"	"At3g25440"	"putative mitochondrial CRS/CFM-type RNA intron splicing factor"	"soluble or peripheral protein"	"0"
"1258"	"AT3G25470.1"	"At3g25470"	"putative RNA methyltransferase"	"soluble or peripheral protein"	"0"
"1259"	"AT3G25716.1"	"At3g25716"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1260"	"AT3G25717.1"	"At3g25717"	"putative precursor of DVL/ROT regulatory peptide (AtDVL6/AtRTFL16)"	"soluble or peripheral protein"	"0"
"1261"	"AT3G25740.1"	"At3g25740"	"putative methionine aminopeptidase (AtMAP1C)"	"soluble or peripheral protein"	"0"
"1262"	"AT3G26115.1"	"At3g26115"	"putative pyridoxal-phosphate dependent enzyme"	"soluble or peripheral protein"	"0"
"1263"	"AT3G26360.1"	"At3g26360"	"putative component bS21M of small subunit of mitochondrial ribosome (AtmtRPS21)"	"soluble or peripheral protein"	"0"
"1264"	"AT3G26390.1"	"At3g26390"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1265"	"AT3G26480.1"	"At3g26480"	"protein of unknown function, contains WD40 repeat"	"soluble or peripheral protein"	"0"
"1266"	"AT3G26540.1"	"At3g26540"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1267"	"AT3G26750.1"	"At3g26750"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1268"	"AT3G26760.1"	"At3g26760"	"putative NAD/NADP-dependent oxidoreductase"	"soluble or peripheral protein"	"0"
"1269"	"AT3G26770.1"	"At3g26770"	"putative NAD/NADP-dependent oxidoreductase"	"soluble or peripheral protein"	"0"
"1270"	"AT3G26780.1"	"At3g26780"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1271"	"AT3G26782.1"	"At3g26782"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1272"	"AT3G26930.1"	"At3g26930"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"1273"	"AT3G26950.1"	"At3g26950"	"protein of unknown function"	"membrane protein"	"2"
"1274"	"AT3G27070.1"	"At3g27070"	"putative receptor component of mitochondrial outer membrane translocase...(AtTOM20-1)"	"membrane protein"	"3"
"1275"	"AT3G27080.1"	"At3g27080"	"putative receptor component of mitochondrial outer membrane translocase...(AtTOM20-3)"	"membrane protein"	"1"
"1276"	"AT3G27240.1"	"At3g27240"	"putative cytochrome c1 component of cyt-bc1 complex (AtCyc1-1)"	"membrane protein"	"2"
"1277"	"AT3G27280.1"	"At3g27280"	"putative type-I (yeast Prohibitin)-like chaperone protein (AtPHB4)"	"soluble or peripheral protein"	"0"
"1278"	"AT3G27320.1"	"At3g27320"	"putative carboxylesterase (AtCXE11)"	"soluble or peripheral protein"	"0"
"1279"	"AT3G27340.1"	"At3g27340"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1280"	"AT3G27380.1"	"At3g27380"	"iron-sulphur subunit of succinate dehydrogenase complex (AtSDH2-1)"	"soluble or peripheral protein"	"0"
"1281"	"AT3G27560.1"	"At3g27560"	"putative STY-type protein kinase (AtATN1/AtSTY4/AtRAF41)"	"soluble or peripheral protein"	"0"
"1282"	"AT3G27570.1"	"At3g27570"	"putative sucrose cleavage protein"	"membrane protein"	"1"
"1283"	"AT3G27590.1"	"At3g27590"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1284"	"AT3G27620.1"	"At3g27620"	"alternative oxidase (AtAOx1c)"	"membrane protein"	"2"
"1285"	"AT3G27890.1"	"At3g27890"	"NAD(P)H:quinone reductase (AtNQR)"	"soluble or peripheral protein"	"0"
"1286"	"AT3G27930.1"	"At3g27930"	"putative mitochondrial outer membrane protein of unknown function (AtUBB/AtOM47)"	"membrane protein"	"Beta-barrel"
"1287"	"AT3G28410.1"	"At3g28410"	"protein of unknown function, contains F-box and LRR domain"	"soluble or peripheral protein"	"0"
"1288"	"AT3G28430.1"	"At3g28430"	"putative peripheral membrane protein involved in vacuolar trafficking (AtGFS9/AtTT9)"	"soluble or peripheral protein"	"0"
"1289"	"AT3G28520.1"	"At3g28520"	"putative AAA-type ATPase associated with unknown cellular activities"	"soluble or peripheral protein"	"0"
"1290"	"AT3G28570.1"	"At3g28570"	"putative AAA-type ATPase associated with unknown cellular activities"	"soluble or peripheral protein"	"0"
"1291"	"AT3G28700.1"	"At3g28700"	"putative (animal NDUFAF7)-like NADH:ubiquinone oxidoreductase complex assembly factor"	"soluble or peripheral protein"	"0"
"1292"	"AT3G28917.1"	"At3g28917"	"putative MIF-type transcription factor, MINI ZINC FINGER (AtMIF2)"	"soluble or peripheral protein"	"0"
"1293"	"AT3G29010.1"	"At3g29010"	"putative lipoate-protein ligase A (AtLPLA)"	"soluble or peripheral protein"	"0"
"1294"	"AT3G29050.1"	"At3g29050"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1295"	"AT3G29070.1"	"At3g29070"	"putative P24 ER-Golgi-trafficking GPI-anchor protein cargo receptor (AtP24-delta11)"	"membrane protein"	"2"
"1296"	"AT3G29110.1"	"At3g29110"	"putative terpene synthase (AtTPS16)"	"soluble or peripheral protein"	"0"
"1297"	"AT3G29180.1"	"At3g29180"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1298"	"AT3G29195.1"	"At3g29195"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1299"	"AT3G29370.1"	"At3g29370"	"putative bHLH-type transcription factor, PAR1-RESPONSIVE (AtP1R3/AtbHLH168*)"	"soluble or peripheral protein"	"0"
"1300"	"AT3G29385.1"	"At3g29385"	"putative (mammal Dentin sialophosphoprotein)-like protein"	"soluble or peripheral protein"	"0"
"1301"	"AT3G29450.1"	"At3g29450"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1302"	"AT3G29560.1"	"At3g29560"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1303"	"AT3G29800.1"	"At3g29800"	"putative AAA-type ATPase associated with unknown cellular activities"	"soluble or peripheral protein"	"0"
"1304"	"AT3G30705.1"	"At3g30705"	"protein of unknown function"	"soluble or peripheral protein"	"0"
